[09/Sep/2015 19:36:32]"GET / HTTP/1.1" 200 14234
[09/Sep/2015 19:36:44]"GET /game_menu/ HTTP/1.1" 200 2658
[09/Sep/2015 19:36:44]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[09/Sep/2015 19:36:46]"GET /game/ HTTP/1.1" 302 0
[09/Sep/2015 19:36:46]"GET /static/game/index_game.html HTTP/1.1" 304 0
[09/Sep/2015 19:36:47]"POST /generate_problem/ HTTP/1.1" 200 70
[09/Sep/2015 19:36:47]"POST /get_saved_game/ HTTP/1.1" 200 120
[09/Sep/2015 19:36:49]"POST /save_step/ HTTP/1.1" 200 104
[09/Sep/2015 22:45:37]"GET / HTTP/1.1" 200 12795
[09/Sep/2015 22:45:37]"GET /static/images/thinkagain_logo.png HTTP/1.1" 200 5861
[09/Sep/2015 22:45:37]"GET /favicon.ico HTTP/1.1" 404 3632
[09/Sep/2015 22:45:46]"POST /login/ HTTP/1.1" 200 21
[09/Sep/2015 22:45:46]"GET /game_menu/ HTTP/1.1" 200 2658
[09/Sep/2015 22:45:47]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[09/Sep/2015 22:45:51]"GET /game/ HTTP/1.1" 302 0
[09/Sep/2015 22:45:51]"GET /static/game/index_game.html HTTP/1.1" 200 11298
[09/Sep/2015 22:45:51]"GET /static/game/CSS/normalize.css HTTP/1.1" 200 7797
[09/Sep/2015 22:45:51]"GET /static/game/scripts/BranchExplorer.js?1.0 HTTP/1.1" 200 7374
[09/Sep/2015 22:45:51]"GET /static/game/scripts/tutorial.js?1.002 HTTP/1.1" 200 6367
[09/Sep/2015 22:45:51]"GET /static/game/scripts/PieceManager.js?1.002 HTTP/1.1" 200 12297
[09/Sep/2015 22:45:51]"GET /static/game/scripts/ClausePiece.js?1.001 HTTP/1.1" 200 25365
[09/Sep/2015 22:45:51]"GET /static/game/images/menu_nav.png HTTP/1.1" 200 1247
[09/Sep/2015 22:45:51]"GET /static/game/scripts/game.js?1.002 HTTP/1.1" 200 16773
[09/Sep/2015 22:45:52]"GET /static/game/images/bin.png HTTP/1.1" 200 7104
[09/Sep/2015 22:45:52]"GET /static/game/images/Close.png HTTP/1.1" 200 31448
[09/Sep/2015 22:45:52]"GET /static/game/images/zoom_in.png HTTP/1.1" 200 37078
[09/Sep/2015 22:45:52]"GET /static/game/images/zoom_out.png HTTP/1.1" 200 34588
[09/Sep/2015 22:45:52]"GET /static/game/images/pause.png HTTP/1.1" 200 4145
[09/Sep/2015 22:45:52]"GET /static/game/sounds/cheer.mp3 HTTP/1.1" 200 55632
[09/Sep/2015 22:45:52]"GET /static/game/sounds/bubble.wav HTTP/1.1" 200 112156
[09/Sep/2015 22:45:52]"POST /generate_problem/ HTTP/1.1" 200 356
[09/Sep/2015 22:45:52]"POST /get_saved_game/ HTTP/1.1" 200 260
[09/Sep/2015 22:45:52]"POST /get_saved_game/ HTTP/1.1" 200 260
[09/Sep/2015 22:45:55]"POST /generate_problem/ HTTP/1.1" 500 11626
[09/Sep/2015 22:45:58]"GET / HTTP/1.1" 200 14239
[09/Sep/2015 22:46:01]"GET /game_menu/ HTTP/1.1" 200 2658
[09/Sep/2015 22:46:01]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[09/Sep/2015 22:46:05]"GET /game/ HTTP/1.1" 302 0
[09/Sep/2015 22:46:05]"POST /generate_problem/ HTTP/1.1" 200 356
[09/Sep/2015 22:46:05]"POST /get_saved_game/ HTTP/1.1" 200 260
[09/Sep/2015 22:46:05]"POST /get_saved_game/ HTTP/1.1" 200 260
[09/Sep/2015 22:46:23]"POST /save_step/ HTTP/1.1" 200 128
[09/Sep/2015 22:46:29]"POST /get_saved_game/ HTTP/1.1" 200 385
[09/Sep/2015 22:46:29]"POST /get_saved_game/ HTTP/1.1" 200 385
[09/Sep/2015 22:46:42]"POST /get_saved_game/ HTTP/1.1" 200 385
[09/Sep/2015 22:46:42]"POST /get_saved_game/ HTTP/1.1" 200 385
[09/Sep/2015 22:46:42]"POST /get_saved_game/ HTTP/1.1" 200 385
[09/Sep/2015 22:46:42]"POST /get_saved_game/ HTTP/1.1" 200 385
[10/Sep/2015 02:49:23]"GET / HTTP/1.1" 200 14234
[10/Sep/2015 02:49:25]"GET /game_menu/ HTTP/1.1" 200 2658
[10/Sep/2015 02:49:25]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[10/Sep/2015 02:49:32]"GET /game/ HTTP/1.1" 302 0
[10/Sep/2015 02:49:32]"GET /static/game/index_game.html HTTP/1.1" 304 0
[10/Sep/2015 02:49:32]"POST /generate_problem/ HTTP/1.1" 200 214
[10/Sep/2015 02:49:32]"POST /get_saved_game/ HTTP/1.1" 200 608
[10/Sep/2015 02:49:40]"GET /static/game/index_game.html HTTP/1.1" 200 11298
[10/Sep/2015 02:49:40]"GET /static/game/scripts/game.js?1.002 HTTP/1.1" 200 16773
[10/Sep/2015 02:49:40]"GET /static/game/scripts/PieceManager.js?1.002 HTTP/1.1" 200 12297
[10/Sep/2015 02:49:40]"GET /static/game/scripts/BranchExplorer.js?1.0 HTTP/1.1" 200 7374
[10/Sep/2015 02:49:40]"GET /static/game/scripts/tutorial.js?1.002 HTTP/1.1" 200 6367
[10/Sep/2015 02:49:40]"GET /static/game/scripts/ClausePiece.js?1.001 HTTP/1.1" 200 25365
[10/Sep/2015 02:49:40]"GET /static/game/CSS/normalize.css HTTP/1.1" 200 7797
[10/Sep/2015 02:49:40]"GET /static/game/images/menu_nav.png HTTP/1.1" 200 1247
[10/Sep/2015 02:49:40]"GET /static/game/images/bin.png HTTP/1.1" 200 7104
[10/Sep/2015 02:49:40]"GET /static/game/images/Close.png HTTP/1.1" 200 31448
[10/Sep/2015 02:49:40]"GET /static/game/sounds/cheer.mp3 HTTP/1.1" 200 55632
